Sender, Receiver, #hops, Total Time
1, 32, 4, 19999.992721
1, 198, 14, 55000.002044
1, 59, 4, 17000.018482
1, 158, 12, 38000.002728
1, 157, 11, 39999.992650
1, 120, 8, 39999.964293
1, 91, 6, 30000.009941
1, 126, 17, 35000.034097
1, 79, 11, 34999.987254
1, 146, 13, 45000.003610
1, 169, 12, 60000.001608
1, 174, 14, 44999.978216
1, 118, 11, 45000.001241
1, 4, 3, 15000.001136
1, 117, 11, 45000.024913
1, 92, 11, 39999.982862
1, 74, 6, 24999.986966
1, 155, 11, 54999.998830
1, 2, 1, 4999.990518
1, 106, 8, 40000.041013
1, 75, 5, 24999.997320
1, 132, 13, 49999.979997
1, 51, 9, 25000.011252
1, 196, 20, 45000.003144
1, 102, 8, 29999.976766
1, 120, 8, 40000.017324
1, 66, 11, 24999.980796
1, 116, 9, 34999.999852
1, 19, 5, 25000.001289
1, 40, 11, 24999.996113
1, 76, 5, 25000.043334
1, 156, 11, 39999.954631
1, 163, 16, 60000.001503
1, 46, 3, 15000.001677
1, 72, 6, 24999.994131
1, 119, 13, 55000.043731
1, 199, 14, 49999.967101
1, 69, 12, 29999.988426
1, 110, 14, 28000.021875
1, 93, 12, 37000.011223
1, 100, 8, 30000.000715
1, 31, 2, 10000.007464
1, 84, 14, 34999.971021
1, 161, 14, 50000.009263
1, 123, 16, 29999.998182
1, 65, 10, 30000.014728
1, 11, 10, 49999.966240
1, 9, 8, 40000.048284
1, 133, 13, 49999.991843
1, 172, 13, 44999.980013
1, 17, 2, 10000.020835
1, 2, 1, 5000.002790
1, 131, 11, 39999.964590
1, 43, 3, 15000.017770
1, 88, 7, 29999.973439
1, 13, 12, 60000.010145
1, 83, 13, 30000.002949
1, 156, 11, 39999.998130
1, 124, 15, 29000.002268
1, 89, 8, 30999.988704
1, 191, 18, 65000.008864
1, 158, 12, 40000.030414
1, 153, 18, 35000.005106
1, 158, 12, 39999.952677
1, 199, 14, 50000.012385
1, 165, 11, 55000.023828
1, 66, 11, 24999.977247
1, 147, 15, 55000.030969
1, 30, 2, 9999.956271
1, 76, 5, 25000.028873
1, 54, 12, 30000.012161
1, 29, 2, 10000.006571
1, 75, 5, 24999.983405
1, 87, 6, 24999.967861
1, 45, 3, 15000.041939
1, 165, 11, 55000.002108
1, 46, 3, 15000.002494
1, 36, 7, 20999.961937
1, 9, 8, 39000.017288
1, 69, 12, 29999.981361
1, 2, 1, 4999.992924
1, 142, 11, 40000.026556
1, 152, 17, 30999.982477
1, 79, 11, 34000.008999
1, 106, 8, 40000.014354
1, 102, 8, 29999.997288
1, 189, 16, 49999.971801
1, 57, 4, 20000.045990
1, 180, 12, 59999.993071
1, 62, 7, 24999.987424
1, 166, 18, 34999.997375
1, 176, 16, 55999.978925
1, 10, 9, 44000.044447
1, 35, 6, 19999.954498
1, 168, 19, 40000.025244
1, 88, 7, 29999.978269
1, 159, 14, 45000.035015
1, 71, 5, 24999.960252
1, 38, 9, 23000.016836
1, 158, 12, 36999.986976
1, 78, 10, 35000.010936
1, 55, 12, 30000.005641
1, 161, 14, 50000.022384
1, 35, 6, 19999.974750
1, 46, 3, 15000.028532
1, 160, 14, 49999.974160
1, 25, 10, 29999.991947
1, 109, 15, 30000.017867
1, 131, 11, 39999.976945
1, 161, 14, 50000.019673
1, 18, 3, 14999.977017
1, 163, 16, 60000.020048
1, 54, 12, 29999.978186
1, 29, 2, 10000.020550
1, 106, 8, 39999.982577
1, 124, 15, 28999.999930
1, 76, 5, 21000.030467
1, 55, 12, 29999.973337
1, 78, 10, 35000.012288
1, 133, 13, 50000.012869
1, 139, 17, 34999.974321
1, 154, 19, 40000.035914
1, 100, 8, 29999.995941
1, 94, 15, 34999.991652
1, 193, 19, 69999.984792
1, 68, 11, 24999.981638
1, 36, 7, 21000.003233
1, 31, 2, 9000.004559
1, 95, 14, 29999.996986
1, 199, 14, 50000.012765
1, 167, 18, 34999.995254
1, 68, 11, 25000.032974
1, 131, 11, 39999.961874
1, 108, 16, 35000.041714
1, 33, 4, 17999.972427
1, 194, 13, 61999.984310
1, 139, 17, 35000.008248
1, 140, 18, 39999.990350
1, 196, 20, 45000.040304
1, 181, 19, 39999.958097
1, 93, 12, 39999.996828
1, 188, 15, 50000.011469
1, 194, 13, 65000.012723
1, 183, 13, 64999.984649
1, 132, 13, 49999.994851
1, 52, 10, 25000.038446
1, 75, 5, 24999.999031
1, 63, 8, 29999.973217
1, 44, 3, 15000.004440
1, 20, 6, 24999.985616
1, 111, 15, 30000.013944
1, 172, 13, 44999.992210
1, 182, 19, 39999.992666
1, 131, 11, 40000.019204
1, 179, 12, 59999.977863
1, 157, 11, 40000.004297
1, 128, 10, 35000.021703
1, 54, 12, 29999.989985
1, 136, 10, 49999.993260
1, 14, 13, 65000.002471
1, 28, 14, 44999.995120
1, 10, 9, 45000.016773
1, 154, 19, 40000.017903
1, 177, 17, 65000.001868
1, 24, 10, 29999.993282
1, 14, 13, 64999.984653
1, 140, 18, 40000.006073
1, 198, 14, 54999.976902
1, 94, 15, 35000.039606
1, 127, 9, 44999.994502
1, 40, 11, 24999.961632
1, 160, 14, 50000.000531
1, 153, 18, 35000.023083
1, 89, 8, 35000.019671
1, 148, 15, 54999.960062
1, 86, 7, 29999.999964
1, 16, 1, 5000.023696
1, 127, 9, 44999.999519
1, 33, 4, 17999.990475
1, 35, 6, 17000.017138
1, 151, 12, 60000.001820
1, 152, 17, 30999.977569
1, 188, 15, 48999.989921
1, 187, 14, 45000.020996
1, 185, 13, 49999.987574
1, 182, 19, 40000.028385
1, 31, 2, 9999.982161
1, 42, 13, 34999.994772
1, 130, 11, 40000.008514
1, 44, 3, 14999.975069
1, 162, 16, 60000.046596
1, 162, 16, 59999.980639
1, 113, 8, 39999.995496
1, 115, 8, 30000.007250
1, 27, 12, 34999.969295
1, 160, 14, 50000.003235
1, 58, 4, 20000.041204
1, 9, 8, 39999.956250
1, 93, 12, 40000.004639
1, 172, 13, 45000.032677
1, 105, 7, 35000.009380
1, 79, 11, 34999.953234
1, 84, 14, 35000.006813
1, 84, 14, 35000.002937
1, 27, 12, 35000.006669
1, 189, 16, 50000.008149
1, 174, 14, 44999.991208
